,strategy,strategy_intraday,spy
2012-01-08,1.0,1.0,1.0016
2012-01-15,1.0,1.0,1.0105
2012-01-22,1.0,1.0,1.0349
2012-01-29,1.0,1.0,1.0339
2012-02-05,1.0,1.0,1.0552
2012-02-12,1.0,1.0,1.0538
2012-02-19,1.0,1.0,1.0699
2012-02-26,1.0,1.0,1.074
2012-03-04,1.0,1.0,1.0769
2012-03-11,1.0,1.0,1.079
2012-03-18,1.0,1.0,1.1052
2012-03-25,1.0,1.0,1.1001
2012-04-01,1.0,1.0,1.1092
2012-04-08,1.0,1.0,1.1012
2012-04-15,1.0,1.0,1.0803
2012-04-22,1.0,1.0,1.0867
2012-04-29,1.0,1.0,1.1059
2012-05-06,1.0,1.0,1.0792
2012-05-13,1.0,1.0,1.0683
2012-05-20,1.0,1.0,1.022
2012-05-27,1.0,1.0,1.0406
2012-06-03,1.0,1.0,1.0096
2012-06-10,1.0,1.0,1.0485
2012-06-17,1.0,1.0,1.0622
2012-06-24,1.0,1.0,1.0568
2012-07-01,1.0,1.0,1.0777
2012-07-08,1.0,1.0,1.0729
2012-07-15,1.0,1.0,1.0749
2012-07-22,1.0,1.0,1.0806
2012-07-29,1.0205,0.9948,1.0981
2012-08-05,1.0361,1.0224,1.1034
2012-08-12,1.0377,1.0273,1.1152
2012-08-19,1.0481,1.0353,1.1258
2012-08-26,1.0463,1.0261,1.1205
2012-09-02,1.0457,1.0351,1.1178
2012-09-09,1.0778,1.0682,1.1429
2012-09-16,1.1006,1.0939,1.1659
2012-09-23,1.0966,1.0923,1.1612
2012-09-30,1.0841,1.0699,1.1461
2012-10-07,1.0894,1.0823,1.1634
2012-10-14,1.0638,1.0555,1.1375
2012-10-21,1.075,1.0656,1.1415
2012-10-28,1.0661,1.0508,1.1252
2012-11-04,1.0775,1.0765,1.1269
2012-11-11,1.056,1.0409,1.0998
2012-11-18,1.0149,1.0,1.0856
2012-11-25,1.0668,1.0533,1.1252
2012-12-02,1.0669,1.0585,1.1316
2012-12-09,1.058,1.0495,1.1337
2012-12-16,1.0638,1.0546,1.1312
2012-12-23,1.0811,1.0697,1.1448
2012-12-30,1.0694,1.0648,1.1226
2013-01-06,1.133,1.119,1.1735
2013-01-13,1.1441,1.132,1.1791
2013-01-20,1.1679,1.1545,1.1892
2013-01-27,1.1955,1.1789,1.2046
2013-02-03,1.2013,1.1855,1.2125
2013-02-10,1.2088,1.2026,1.217
2013-02-17,1.2099,1.1999,1.2195
2013-02-24,1.1921,1.1735,1.2177
2013-03-03,1.1791,1.1588,1.2195
2013-03-10,1.2342,1.2152,1.2462
2013-03-17,1.2331,1.2265,1.2549
2013-03-24,1.2291,1.2202,1.253
2013-03-31,1.232,1.2173,1.2616
2013-04-07,1.2093,1.1854,1.2495
2013-04-14,1.2386,1.2289,1.2788
