rank,asc,slots,risk,max_gross,n,all_cagr,all_dd,all_mar,all_dd_intraday,train_cagr,train_dd,train_mar,valid_cagr,valid_dd,valid_mar,hold_cagr,hold_dd,hold_mar,worst_year,neg_years,years,avg_r,win
none,False,5,0.005,1.0,352,0.02338764240747193,-0.11210006227593183,0.20863184134459947,-0.1119733025109525,0.02127262856902501,-0.10208119227575008,0.20838930360023267,0.02418646026024729,-0.07664668867959101,0.31555779743277423,0.02964571048386766,-0.0634367155603538,0.4673273233331679,-0.05747320192852445,4,"{""2011"": 0.0, ""2012"": 0.0286, ""2013"": 0.0989, ""2014"": -0.0243, ""2015"": -0.0155, ""2016"": 0.0433, ""2017"": 0.0723, ""2018"": -0.0462, ""2019"": 0.0712, ""2020"": 0.0217, ""2021"": 0.0664, ""2022"": -0.0575, ""2023"": 0.02, ""2024"": 0.0239, ""2025"": 0.0135, ""2026"": 0.0485}",0.21118262592231202,0.42329545454545453
none,False,5,0.01,1.0,352,0.042623456794967485,-0.21527147893231824,0.19799862483579805,-0.2151838634756803,0.03614789247881944,-0.19712913474905458,0.18337163872217932,0.04636296592184519,-0.14665718704735753,0.31613156405948234,0.05676213717771539,-0.12340060483789517,0.459982649617324,-0.11254200374311596,4,"{""2011"": 0.0, ""2012"": 0.057, ""2013"": 0.2035, ""2014"": -0.0517, ""2015"": -0.0307, ""2016"": 0.0869, ""2017"": 0.1283, ""2018"": -0.1062, ""2019"": 0.1451, ""2020"": 0.0394, ""2021"": 0.1345, ""2022"": -0.1125, ""2023"": 0.0371, ""2024"": 0.0429, ""2025"": 0.0262, ""2026"": 0.0968}",0.21118262592231202,0.42329545454545453
none,False,5,0.02,1.0,347,0.047350939213877785,-0.3783002930353351,0.12516759856026594,-0.381613308635381,0.013982656437113272,-0.34475634913518527,0.040558082460811815,0.06249711369337341,-0.24485084594759943,0.2552456514965377,0.10517144040632997,-0.1939839826628088,0.5421655899762788,-0.29777352931184986,6,"{""2011"": 0.0, ""2012"": 0.1063, ""2013"": 0.3246, ""2014"": -0.075, ""2015"": -0.0673, ""2016"": 0.1087, ""2017"": 0.1195, ""2018"": -0.2978, ""2019"": 0.2286, ""2020"": -0.0129, ""2021"": 0.2142, ""2022"": -0.1364, ""2023"": 0.0037, ""2024"": 0.1937, ""2025"": -0.0169, ""2026"": 0.2125}",0.17136035595307256,0.4092219020172911
none,False,5,0.05,1.0,334,0.07510112981283457,-0.3688125270087468,0.2036295524502438,-0.3648867285537848,0.06966193841970525,-0.3390513122783706,0.20546134433631347,0.08542485493698937,-0.2085147428354981,0.40968256620771865,0.08413634312475149,-0.21529568885906147,0.3907943701549429,-0.2123277055364955,3,"{""2011"": 0.0, ""2012"": 0.1247, ""2013"": 0.2381, ""2014"": 0.1182, ""2015"": 0.016, ""2016"": 0.1482, ""2017"": 0.1192, ""2018"": -0.2123, ""2019"": 0.1856, ""2020"": 0.1062, ""2021"": 0.2112, ""2022"": -0.1268, ""2023"": 0.0565, ""2024"": 0.0682, ""2025"": -0.0536, ""2026"": 0.2488}",0.25171022479783944,0.437125748502994
none,False,10,0.005,1.0,688,0.04480890092430467,-0.1756514618792322,0.255101212622487,-0.17507497510351888,0.04225337138671126,-0.17326531030025916,0.2438651528888761,0.04637609040762691,-0.1545086951806386,0.300151977553159,0.05388222224413508,-0.11804122178203202,0.45646954030712106,-0.11723236688404137,4,"{""2011"": 0.0, ""2012"": 0.0847, ""2013"": 0.176, ""2014"": 0.0858, ""2015"": -0.046, ""2016"": 0.0891, ""2017"": 0.0513, ""2018"": -0.1172, ""2019"": 0.1333, ""2020"": 0.0051, ""2021"": 0.1617, ""2022"": -0.0943, ""2023"": 0.032, ""2024"": 0.0943, ""2025"": -0.0063, ""2026"": 0.0744}",0.21531844233185382,0.4258720930232558
none,False,10,0.01,1.0,690,0.0782081414869451,-0.2802358888499972,0.27907967750985613,-0.2793048151090407,0.08491506304448637,-0.25599146019667707,0.3317105304186574,0.06872587724739598,-0.22948650248164448,0.29947677316182475,0.08601273018248023,-0.18911735453285572,0.45481140741918047,-0.16967788154591112,4,"{""2011"": 0.0, ""2012"": 0.1368, ""2013"": 0.3037, ""2014"": 0.1857, ""2015"": -0.0753, ""2016"": 0.1611, ""2017"": 0.0881, ""2018"": -0.1388, ""2019"": 0.2227, ""2020"": -0.0045, ""2021"": 0.2901, ""2022"": -0.1697, ""2023"": 0.0217, ""2024"": 0.1403, ""2025"": 0.0084, ""2026"": 0.1423}",0.24425505320488178,0.43478260869565216
none,False,10,0.02,1.0,670,0.06737850375786758,-0.3475332492628388,0.1938764244882634,-0.34420873119929907,0.06345577893413212,-0.23868164387395963,0.2658594850622076,0.0988696108503746,-0.2226426768913785,0.44407304219851107,0.049586687702974475,-0.227477787705623,0.21798474568929857,-0.21524379913705172,5,"{""2011"": 0.0, ""2012"": 0.1245, ""2013"": 0.2613, ""2014"": 0.1129, ""2015"": -0.0383, ""2016"": 0.1301, ""2017"": 0.0436, ""2018"": -0.1412, ""2019"": 0.2829, ""2020"": 0.0449, ""2021"": 0.3834, ""2022"": -0.2152, ""2023"": -0.0582, ""2024"": 0.1111, ""2025"": -0.02, ""2026"": 0.1587}",0.2076584232195873,0.42388059701492536
none,False,10,0.05,1.0,670,0.06737850375786758,-0.3475332492628388,0.1938764244882634,-0.34420873119929907,0.06345577893413212,-0.23868164387395963,0.2658594850622076,0.0988696108503746,-0.2226426768913785,0.44407304219851107,0.049586687702974475,-0.227477787705623,0.21798474568929857,-0.21524379913705172,5,"{""2011"": 0.0, ""2012"": 0.1245, ""2013"": 0.2613, ""2014"": 0.1129, ""2015"": -0.0383, ""2016"": 0.1301, ""2017"": 0.0436, ""2018"": -0.1412, ""2019"": 0.2829, ""2020"": 0.0449, ""2021"": 0.3834, ""2022"": -0.2152, ""2023"": -0.0582, ""2024"": 0.1111, ""2025"": -0.02, ""2026"": 0.1587}",0.2076584232195873,0.42388059701492536
none,False,15,0.005,1.0,1077,0.07078902948168575,-0.25886339723753105,0.2734609459549443,-0.26047818133563194,0.08212941806478713,-0.21727739557379389,0.3779933842077628,0.03477552971886433,-0.20909632994817295,0.1663134390138931,0.0998227868616206,-0.16505102839298624,0.6047995449258438,-0.16399918876319697,4,"{""2011"": 0.0, ""2012"": 0.1115, ""2013"": 0.3115, ""2014"": 0.0705, ""2015"": -0.019, ""2016"": 0.1483, ""2017"": 0.1531, ""2018"": -0.1433, ""2019"": 0.1366, ""2020"": -0.0173, ""2021"": 0.2254, ""2022"": -0.164, ""2023"": 0.0737, ""2024"": 0.1441, ""2025"": 0.0496, ""2026"": 0.0888}",0.23363698306157124,0.43268337975858867
none,False,15,0.01,1.0,1068,0.09007985622622305,-0.3059289849103465,0.29444694902845264,-0.3056215129620863,0.07462614957003622,-0.2306934397483441,0.32348622332496074,0.07422357819304626,-0.23563450703625521,0.31499451895484076,0.15306444757323545,-0.19525132109916254,0.7839355283824093,-0.2045728082246404,3,"{""2011"": 0.0, ""2012"": 0.1119, ""2013"": 0.2872, ""2014"": 0.1969, ""2015"": -0.0718, ""2016"": 0.1388, ""2017"": 0.0852, ""2018"": -0.1582, ""2019"": 0.2413, ""2020"": 0.0256, ""2021"": 0.3101, ""2022"": -0.2046, ""2023"": 0.0453, ""2024"": 0.2108, ""2025"": 0.0903, ""2026"": 0.204}",0.22616584778616322,0.4288389513108614
