family,sl_atr,rr,signals,rule,train_n,train_per_year,train_win,train_avg_r,train_pf,train_bars,train_unres,train_risk_pct,train_pct_per_trade,train_ann_est,valid_n,valid_per_year,valid_win,valid_avg_r,valid_pf,valid_bars,valid_unres,valid_risk_pct,valid_pct_per_trade,valid_ann_est,hold_n,hold_per_year,hold_win,hold_avg_r,hold_pf,hold_bars,hold_unres,hold_risk_pct,hold_pct_per_trade,hold_ann_est
meanrev,1.0,0.5,34356,"{""family"": ""meanrev"", ""min_ddv"": 10000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 5.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 0.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""up_close"": false, ""strong_close"": false}",12861,1835.8486507626124,0.6940362335743722,-0.05366401396909927,0.843818578121419,1.0,0.0,0.019999807799716027,-0.0008010933170374521,-0.2018755158934379,9393,2346.6427104722793,0.6790162887256468,-0.05341356943149767,0.8504261880381498,1.0,0.0,0.028136450609112133,-0.0015854773281191977,-0.3995402866860378,11839,2957.7241615331964,0.6852774727595236,-0.03982730117717817,0.885423739930012,2.0,0.0016893318692457132,0.0282725469761415,-0.0006374909429159492,-0.0803238588074096
meanrev,1.0,0.75,34356,"{""family"": ""meanrev"", ""min_ddv"": 10000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 5.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 0.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""up_close"": false, ""strong_close"": false}",12861,1835.8486507626124,0.6134826218801026,-0.020796159997672797,0.9524040491598086,2.0,0.0,0.019999807799716027,-3.2474200110274645e-05,-0.004091749213894606,9393,2346.6427104722793,0.5932077078675609,-0.03588161956521725,0.9211952209347168,2.0,0.0,0.028136450609112133,-0.0009555296580231197,-0.12039673691091309,11839,2957.7241615331964,0.5997128135822283,-0.019923810109186632,0.9554990166207351,2.0,0.0026184643973308558,0.0282725469761415,0.00020334902168105194,0.025621976731812546
meanrev,1.0,1.0,34356,"{""family"": ""meanrev"", ""min_ddv"": 10000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 5.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 0.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""up_close"": false, ""strong_close"": false}",12861,1835.8486507626124,0.5459917580281471,-0.0012511462597968718,0.9975766761499874,2.0,0.0,0.019999807799716027,0.0003785066762051123,0.047691841201844144,9393,2346.6427104722793,0.5330565314595975,-0.008462703148496155,0.9838466284851811,2.0,0.0,0.028136450609112133,-5.698627088315925e-05,-0.0071802701312780656,11839,2957.7241615331964,0.5367007348593631,0.0036699567280442523,1.0070343302609632,3.0,0.0029563307711799984,0.0282725469761415,0.0008813462898132785,0.07403308834431539
meanrev,1.0,1.5,34356,"{""family"": ""meanrev"", ""min_ddv"": 10000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 5.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 0.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""up_close"": false, ""strong_close"": false}",12861,1835.8486507626124,0.44926522043386985,0.024542720115409918,1.0389188868190553,3.0,0.0,0.019999807799716027,0.0008458287243445276,0.07104961284494031,9393,2346.6427104722793,0.43660172468859787,0.007770979954908488,1.0121978162187746,3.0,0.0,0.028136450609112133,0.00038008153596237734,0.0319268490208397,11839,2957.7241615331964,0.44817974491088775,0.04804647211256554,1.076957352332783,4.0,0.0043922628600388544,0.0282725469761415,0.0020654604991217,0.1301240114446671
meanrev,1.0,2.0,34356,"{""family"": ""meanrev"", ""min_ddv"": 10000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 5.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 0.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""up_close"": false, ""strong_close"": false}",12861,1835.8486507626124,0.3775756162040277,0.02805849069990112,1.0392187335414695,4.0,0.0,0.019999807799716027,0.0008106658404426255,0.0510719479478854,9393,2346.6427104722793,0.3740019163206643,0.033286827414186926,1.0469660425797476,4.0,0.0,0.028136450609112133,0.0011892721611509195,0.07492414615250793,11839,2957.7241615331964,0.38145113607568204,0.06208736988387876,1.0885352197479905,4.0,0.0066728608835205675,0.0282725469761415,0.0023387025974106633,0.14733826363687177
meanrev,1.0,3.0,34356,"{""family"": ""meanrev"", ""min_ddv"": 10000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 5.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 0.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""up_close"": false, ""strong_close"": false}",12861,1835.8486507626124,0.2892465593655237,0.043397504935062114,1.0528475559333785,5.0,0.0,0.019999807799716027,0.0009340498775984823,0.04707611383096351,9393,2346.6427104722793,0.28968380709038644,0.06600490414555917,1.0818569296092286,5.0,0.0,0.028136450609112133,0.002020375668648217,0.10182693369987014,11839,2957.7241615331964,0.3023059380015204,0.10933927119657857,1.137404340137055,6.0,0.009713658248162851,0.0282725469761415,0.0032326888729062877,0.13577293266206408
meanrev,1.5,0.5,34356,"{""family"": ""meanrev"", ""min_ddv"": 10000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 5.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 0.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""up_close"": false, ""strong_close"": false}",12822,1830.2815799765349,0.7128373108719388,0.009841468536195453,1.0311518224052167,2.0,0.0,0.029967064503382882,0.0007167201227407575,0.09030673546533544,9151,2286.1841204654347,0.6913998470112556,-0.00960818716744835,0.9714642258942849,2.0,0.0,0.041554261168935534,0.0005736012842164145,0.07227376181126823,11576,2892.01916495551,0.6951451278507257,-0.0012702142445434922,0.9961770232830276,3.0,0.0036281962681409814,0.04189563012151687,0.0008733864983941869,0.07336446586511171
meanrev,1.5,0.75,34356,"{""family"": ""meanrev"", ""min_ddv"": 10000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 5.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 0.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""up_close"": false, ""strong_close"": false}",12822,1830.2815799765349,0.624083606301669,0.03244677480912679,1.077885592671702,3.0,0.0,0.029967064503382882,0.0013379451722036102,0.11238739446510326,9151,2286.1841204654347,0.609878701781226,0.01924085936476066,1.0451572950432908,3.0,0.0,0.041554261168935534,0.002176886190010266,0.18285843996086235,11576,2892.01916495551,0.6127332411886662,0.03040193213808008,1.071599522196579,4.0,0.0045784381478921905,0.04189563012151687,0.002348515704141573,0.1479564893609191
meanrev,1.5,1.0,34356,"{""family"": ""meanrev"", ""min_ddv"": 10000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 5.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 0.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""up_close"": false, ""strong_close"": false}",12822,1830.2815799765349,0.5562314771486507,0.050405652854828585,1.102365685649592,4.0,0.0,0.029967064503382882,0.001860255779489741,0.11719611410785369,9151,2286.1841204654347,0.5403781007540159,0.027296922783333764,1.0540527749277526,4.0,0.0,0.041554261168935534,0.00252717636184504,0.1592121107962375,11576,2892.01916495551,0.5497581202487906,0.05650124542626349,1.114419125265205,5.0,0.0064789219073946094,0.04189563012151687,0.003397038660193738,0.17121074847376438
meanrev,1.5,1.5,34356,"{""family"": ""meanrev"", ""min_ddv"": 10000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 5.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 0.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""up_close"": false, ""strong_close"": false}",12822,1830.2815799765349,0.44868195289346435,0.053903997571637066,1.0877911062738548,7.0,0.0,0.029967064503382882,0.001745101652581765,0.06282365949294354,9151,2286.1841204654347,0.44497869085345865,0.05523317186426469,1.0905676835584088,6.0,0.0,0.041554261168935534,0.0037960025482400225,0.15943210702608093,11576,2892.01916495551,0.45447477539737385,0.08548032750603728,1.14240837995775,7.0,0.010020732550103663,0.04189563012151687,0.004566809266517518,0.16440513359463063
