family,sl_atr,rr,signals,rule,train_n,train_per_year,train_win,train_avg_r,train_pf,train_bars,train_unres,train_r_per_bar,valid_n,valid_per_year,valid_win,valid_avg_r,valid_pf,valid_bars,valid_unres,valid_r_per_bar,hold_n,hold_per_year,hold_win,hold_avg_r,hold_pf,hold_bars,hold_unres,hold_r_per_bar
meanrev,1.0,0.5,11256,"{""family"": ""meanrev"", ""min_ddv"": 10000000.0, ""min_price"": 5.0, ""regime"": ""none"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 5.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 0.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""up_close"": false, ""strong_close"": false}",3879,553.7094251075479,0.6890951276102089,-0.05761074362932059,0.8349268545536329,1.0,0.0,-0.05761074362932059,3338,833.9288158795346,0.6728579988016776,-0.060850123945415065,0.8338622996048538,1.0,0.0,-0.060850123945415065,3915,978.0800821355236,0.6937420178799489,-0.021934697726437392,0.9352613964724774,2.0,0.0015325670498084292,-0.010967348863218696
meanrev,1.0,0.75,11256,"{""family"": ""meanrev"", ""min_ddv"": 10000000.0, ""min_price"": 5.0, ""regime"": ""none"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 5.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 0.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""up_close"": false, ""strong_close"": false}",3879,553.7094251075479,0.6081464294921372,-0.0251092312818082,0.9431214258504731,2.0,0.0,-0.0125546156409041,3338,833.9288158795346,0.5883762732174955,-0.04013587441295934,0.9129031668824767,2.0,0.0,-0.02006793720647967,3915,978.0800821355236,0.6086845466155811,0.009947868757428873,1.022999566527614,2.0,0.002554278416347382,0.004973934378714437
meanrev,1.0,1.0,11256,"{""family"": ""meanrev"", ""min_ddv"": 10000000.0, ""min_price"": 5.0, ""regime"": ""none"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 5.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 0.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""up_close"": false, ""strong_close"": false}",3879,553.7094251075479,0.5465326114978087,0.0048047889187100585,1.0093425699166914,2.0,0.0,0.0024023944593550292,3338,833.9288158795346,0.5296584781306172,-0.00994528284873566,0.9811439244579185,2.0,0.0,-0.00497264142436783,3915,978.0800821355236,0.5386973180076629,0.02233564854909846,1.0436841785616877,3.0,0.0033205619412515963,0.00744521618303282
meanrev,1.0,1.5,11256,"{""family"": ""meanrev"", ""min_ddv"": 10000000.0, ""min_price"": 5.0, ""regime"": ""none"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 5.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 0.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""up_close"": false, ""strong_close"": false}",3879,553.7094251075479,0.44960041247744265,0.03186760502809873,1.0509380707585558,3.0,0.0,0.010622535009366245,3338,833.9288158795346,0.4310964649490713,-0.004790180790872417,0.9925608527641182,3.0,0.0,-0.0015967269302908057,3915,978.0800821355236,0.44853128991060026,0.060252981923265454,1.0978765902793752,4.0,0.004853128991060026,0.015063245480816364
meanrev,1.0,2.0,11256,"{""family"": ""meanrev"", ""min_ddv"": 10000000.0, ""min_price"": 5.0, ""regime"": ""none"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 5.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 0.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""up_close"": false, ""strong_close"": false}",3879,553.7094251075479,0.37947924722866716,0.04301140234091489,1.060966677536348,4.0,0.0,0.010752850585228723,3338,833.9288158795346,0.3588975434391851,-0.016089482782501236,0.9778513811166806,4.0,0.0,-0.004022370695625309,3915,978.0800821355236,0.38084291187739466,0.07050520026161779,1.101963917981277,4.0,0.0066411238825031926,0.017626300065404447
meanrev,1.0,3.0,11256,"{""family"": ""meanrev"", ""min_ddv"": 10000000.0, ""min_price"": 5.0, ""regime"": ""none"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 5.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 0.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""up_close"": false, ""strong_close"": false}",3879,553.7094251075479,0.2900232018561485,0.05513700745282009,1.0677981055314891,5.0,0.0,0.011027401490564017,3338,833.9288158795346,0.2708208508088676,-0.01501293162145721,0.9817975828454303,5.0,0.0,-0.003002586324291442,3915,978.0800821355236,0.30676883780332054,0.14058026023895864,1.1804615747747373,6.0,0.00842911877394636,0.023430043373159775
meanrev,1.5,0.5,11256,"{""family"": ""meanrev"", ""min_ddv"": 10000000.0, ""min_price"": 5.0, ""regime"": ""none"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 5.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 0.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""up_close"": false, ""strong_close"": false}",3847,549.141572154869,0.7060046789706265,-0.0004870506976407993,0.9984941160084833,2.0,0.0,-0.00024352534882039965,3223,805.1984941820671,0.6860068259385665,-0.016395085233094055,0.9522277717084928,2.0,0.0,-0.008197542616547027,3773,942.6043805612594,0.6970580439968195,0.012289003234413967,1.0376414959191909,3.0,0.0031804929764113437,0.004096334411471322
meanrev,1.5,0.75,11256,"{""family"": ""meanrev"", ""min_ddv"": 10000000.0, ""min_price"": 5.0, ""regime"": ""none"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 5.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 0.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""up_close"": false, ""strong_close"": false}",3847,549.141572154869,0.6189238367559137,0.024895882955958872,1.0590317331628727,3.0,0.0,0.00829862765198629,3223,805.1984941820671,0.6065777226186783,0.013512858771186572,1.0313573258945437,3.0,0.0,0.004504286257062191,3773,942.6043805612594,0.6034985422740525,0.02451206011183113,1.0570022430746961,4.0,0.004240657301881791,0.0061280150279577825
meanrev,1.5,1.0,11256,"{""family"": ""meanrev"", ""min_ddv"": 10000000.0, ""min_price"": 5.0, ""regime"": ""none"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 5.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 0.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""up_close"": false, ""strong_close"": false}",3847,549.141572154869,0.5500389914218872,0.03996407866593484,1.0802868099177863,4.0,0.0,0.00999101966648371,3223,805.1984941820671,0.5342848278001862,0.014092718035857417,1.0274810631253024,4.0,0.0,0.003523179508964354,3773,942.6043805612594,0.5412138881526637,0.04704127829602483,1.0943724572267572,5.0,0.005035780545984627,0.009408255659204966
meanrev,1.5,1.5,11256,"{""family"": ""meanrev"", ""min_ddv"": 10000000.0, ""min_price"": 5.0, ""regime"": ""none"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 5.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 0.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""up_close"": false, ""strong_close"": false}",3847,549.141572154869,0.4473615804523005,0.053386986653059604,1.0872723156894513,6.0,0.0,0.008897831108843268,3223,805.1984941820671,0.4291033198883028,0.009842946573372126,1.0156694355905536,6.0,0.0,0.001640491095562021,3773,942.6043805612594,0.4487145507553671,0.07543401113733705,1.1255561105954057,7.0,0.007686191359660748,0.010776287305333865
