tier,family,sl_atr,rr,signals,rule,train_n,train_per_year,train_win,train_avg_r,train_pf,train_bars,train_unres,train_risk_pct,train_pct_per_trade,train_ann_est,valid_n,valid_per_year,valid_win,valid_avg_r,valid_pf,valid_bars,valid_unres,valid_risk_pct,valid_pct_per_trade,valid_ann_est
all,pullback,1.0,0.5,2677,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": true}",1173,167.44035979663667,0.711849957374254,-0.05538514122720116,0.8418242188235161,1.0,0.0,0.02890530615797116,-0.0008008406433106954,-0.20181184211429526,692,172.88158795345655,0.5852601156069365,-0.20930236566500576,0.5626182185297888,2.0,0.0,0.04073391924913795,-0.00992623401977126,-1.2507054864911789
all,pullback,1.0,1.0,2677,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": true}",1173,167.44035979663667,0.578005115089514,0.02063378811762937,1.04052977446263,2.0,0.0,0.02890530615797116,0.002017751339523595,0.254236668779973,692,172.88158795345655,0.434971098265896,-0.2345535761057898,0.6442215539173113,2.0,0.0,0.04073391924913795,-0.01265467213043592,-1.5944886884349259
all,pullback,1.0,2.0,2677,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": true}",1173,167.44035979663667,0.42284739982949704,0.11330878693353293,1.162187936660308,4.0,0.0,0.02890530615797116,0.005864957406133921,0.36949231658643705,692,172.88158795345655,0.3179190751445087,-0.17333193381377554,0.7828939632125786,3.0,0.0,0.04073391924913795,-0.009963102439336919,-0.8369006049043012
all,pullback,1.0,3.0,2677,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": true}",1173,167.44035979663667,0.3776641091219096,0.35080373069260495,1.4662714217595316,6.0,0.0,0.02890530615797116,0.012881661407182634,0.5410297791016706,692,172.88158795345655,0.24710982658959538,-0.14427057218929487,0.8362044681749904,4.0,0.0,0.04073391924913795,-0.009382422870698221,-0.5910926408539879
all,pullback,1.0,4.0,2677,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": true}",1173,167.44035979663667,0.3350383631713555,0.5090689135845181,1.634396633978189,7.0,0.0,0.02890530615797116,0.016296471656790688,0.5866729796444649,692,172.88158795345655,0.2153179190751445,-0.06310049596832186,0.9315789851642118,4.0,0.0,0.04073391924913795,-0.006851500480078624,-0.43164453024495336
all,pullback,1.0,6.0,2677,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": true}",1173,167.44035979663667,0.2549019607843137,0.5992368189474694,1.65899114895008,7.0,0.0,0.02890530615797116,0.017306527214586486,0.6230349797251135,692,172.88158795345655,0.1994219653179191,0.24930968382720903,1.265053812981374,5.0,0.0,0.04073391924913795,0.004608991340160762,0.23229316354410243
all,pullback,1.5,0.5,2677,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": true}",1173,167.44035979663667,0.7749360613810742,0.0909758428701872,1.358069681536321,2.0,0.0,0.04335795923695665,0.004949620124538837,0.6236521356918935,692,172.88158795345655,0.6257225433526011,-0.11047688777912708,0.7339401405747171,3.0,0.0,0.061100878873706924,-0.0076201265273581125,-0.6400906282980815
all,pullback,1.5,1.0,2677,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": true}",1173,167.44035979663667,0.6001705029838023,0.11854572665059832,1.2629177595692183,4.0,0.0,0.04335795923695665,0.006907744028786587,0.435187873813555,692,172.88158795345655,0.5,-0.06601773575400076,0.8808505617233898,4.0,0.0,0.061100878873706924,-0.00414006789403714,-0.2608242773243398
all,pullback,1.5,2.0,2677,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": true}",1173,167.44035979663667,0.49872122762148335,0.4062213599422822,1.7184591747402875,9.0,0.0,0.04335795923695665,0.021258325155172727,0.5952331043448363,692,172.88158795345655,0.38439306358381503,0.07633661940366458,1.111159021240056,8.0,0.0,0.061100878873706924,0.005134224917172619,0.16172808489093748
all,pullback,1.5,3.0,2677,"{""family"": ""pullback"", ""min_ddv"": 5000000.0, ""min_price"": 5.0, ""regime"": ""spy200"", ""trend"": true, ""mom_min"": 0.0, ""rsi2_max"": 100.0, ""rsi14_max"": 100.0, ""ret21_max"": 1.0, ""dist_ema20_max"": 1.0, ""dist_ema50_min"": -1.0, ""dist_hh60_min"": -1.0, ""atr_ratio_max"": 10.0, ""vol_ratio_min"": 0.0, ""atr_pct_min"": 0.0, ""atr_pct_max"": 1.0, ""up_close"": true, ""strong_close"": true}",1173,167.44035979663667,0.4288150042625746,0.615117817625213,1.9495985130475224,14.0,0.0,0.04335795923695665,0.029654575968751,0.533782367437518,692,172.88158795345655,0.35260115606936415,0.3283730503570043,1.4546717487679208,10.0,0.0,0.061100878873706924,0.02209697853240529,0.5568438590166134
