rank,asc,slots,risk,gross,n,cagr,dd,dd_intraday,final_x,wiped
none,False,1,0.05,1.0,97,0.07791979734250076,-0.3532096777513739,-0.3434889493655793,2.982864689506874,False
none,False,1,0.05,2.0,97,0.05957072578784106,-0.38427369181464766,-0.3750198300978407,2.3228808719651517,False
none,False,1,0.05,3.0,97,0.05878531116000385,-0.38427369181464754,-0.37501983009784057,2.2979271597108557,False
none,False,1,0.1,1.0,97,0.07899052584262889,-0.4863924577313177,-0.47385906046239545,3.0263133327037304,False
none,False,1,0.1,2.0,97,0.0727292053007842,-0.596112893209404,-0.5843410498531401,2.7803504356174265,False
none,False,1,0.1,3.0,97,0.0503443526055567,-0.6462199147155213,-0.6369236310227488,2.045050752487523,False
none,False,1,0.2,1.0,97,0.07875828826786191,-0.5067090690109064,-0.5074668073302595,3.01683970645197,False
none,False,1,0.2,2.0,97,0.033015573466785186,-0.7848261489358475,-0.775413239564911,1.6049877090783904,False
none,False,1,0.2,3.0,97,0.016101319469599584,-0.8625153185818665,-0.8554960876339727,1.2619442479422016,False
none,False,1,0.3,1.0,97,0.07875828826786191,-0.5067090690109064,-0.5074668073302595,3.01683970645197,False
none,False,1,0.3,2.0,97,0.019850366840661327,-0.8015409543171483,-0.7929015110644819,1.3314860297273452,False
none,False,1,0.3,3.0,97,-0.034191826317019336,-0.9408113665443056,-0.9378219377888629,0.6024625892580441,False
none,False,2,0.05,1.0,172,0.08566480776448082,-0.3981408815469287,-0.3895595463920556,3.3107151728939406,False
none,False,2,0.05,2.0,187,0.09427773757264823,-0.5508849421229332,-0.5456357270772292,3.7145592965245555,False
none,False,2,0.05,3.0,193,0.07215388297402692,-0.5835171418535132,-0.5818230670212169,2.7587101530441305,False
none,False,2,0.1,1.0,160,0.09494999008435245,-0.49947290498200136,-0.49114945416746947,3.747936050093755,False
none,False,2,0.1,2.0,176,0.06024458143938616,-0.6758049675518693,-0.6714023994753309,2.3444911117152363,False
none,False,2,0.1,3.0,184,0.032129452126054225,-0.8260783005889636,-0.8253286497127923,1.5850509588635084,False
none,False,2,0.2,1.0,160,0.09494999008435245,-0.49947290498200136,-0.49114945416746947,3.747936050093755,False
none,False,2,0.2,2.0,173,0.037875209747737504,-0.7136954355143721,-0.7125468471638262,1.7185408399387776,False
none,False,2,0.2,3.0,182,-0.07862395174265657,-0.9217703580796051,-0.9254376686737134,0.30339658800530206,False
none,False,2,0.3,1.0,160,0.09494999008435245,-0.49947290498200136,-0.49114945416746947,3.747936050093755,False
none,False,2,0.3,2.0,173,0.037875209747737504,-0.7136954355143721,-0.7125468471638262,1.7185408399387776,False
none,False,2,0.3,3.0,181,-0.04193083044258539,-0.8721013390208899,-0.8780970728995935,0.5358441885436863,False
none,False,3,0.05,1.0,232,0.083279414036592,-0.3736115046353915,-0.377860348608003,3.2063280971755725,False
none,False,3,0.05,2.0,257,0.11097006471369575,-0.6179387961081149,-0.6132472333440273,4.630965703942841,False
none,False,3,0.05,3.0,263,0.07101800668455116,-0.715603312612843,-0.714857508290895,2.7164449192645903,False
none,False,3,0.1,1.0,218,0.07389862658045177,-0.4421475073047032,-0.43822243200859134,2.8248254211425774,False
none,False,3,0.1,2.0,248,0.08776651879278252,-0.7004859927595086,-0.6999810228443831,3.4053022313362793,False
none,False,3,0.1,3.0,258,-0.004758517425325182,-0.8969982835558038,-0.8961224256989718,0.9328834746129223,False
none,False,3,0.2,1.0,218,0.07389862658045177,-0.4421475073047032,-0.43822243200859134,2.8248254211425774,False
none,False,3,0.2,2.0,248,0.08515963398162008,-0.7176948261343281,-0.7161916501102424,3.288347638414653,False
none,False,3,0.2,3.0,246,0.02872691261266902,-0.8884755045313039,-0.8920759222021049,1.5106208822433813,False
none,False,3,0.3,1.0,218,0.07389862658045177,-0.4421475073047032,-0.43822243200859134,2.8248254211425774,False
none,False,3,0.3,2.0,248,0.08515963398162008,-0.7176948261343281,-0.7161916501102424,3.288347638414653,False
none,False,3,0.3,3.0,246,0.0273359592368132,-0.8884755045313039,-0.8920759222021049,1.4811420162659912,False
none,False,5,0.05,1.0,355,0.046930116877409445,-0.44748193955902926,-0.4422807296422191,1.9503317734549073,False
none,False,5,0.05,2.0,387,0.10683691322339772,-0.6491959961828102,-0.657457112045218,4.386259073201902,False
none,False,5,0.05,3.0,386,0.04054888552428393,-0.8096496037529034,-0.8173953957510429,1.7841627379879696,False
none,False,5,0.1,1.0,359,0.06512278029975538,-0.4143669596005366,-0.419500806106785,2.5066071510985655,False
none,False,5,0.1,2.0,379,0.07541443534624714,-0.7186947237153685,-0.718272043287416,2.883460383432738,False
none,False,5,0.1,3.0,370,-0.031204645853797786,-0.9264453524669009,-0.9256388497473256,0.6301801655133376,False
none,False,5,0.2,1.0,359,0.06512278029975538,-0.4143669596005366,-0.419500806106785,2.5066071510985655,False
none,False,5,0.2,2.0,379,0.07541443534624714,-0.7186947237153685,-0.718272043287416,2.883460383432738,False
none,False,5,0.2,3.0,376,-0.014666808684183352,-0.9209821404831294,-0.920775337136389,0.8063724516757469,False
none,False,5,0.3,1.0,359,0.06512278029975538,-0.4143669596005366,-0.419500806106785,2.5066071510985655,False
none,False,5,0.3,2.0,379,0.07541443534624714,-0.7186947237153685,-0.718272043287416,2.883460383432738,False
none,False,5,0.3,3.0,376,-0.014666808684183352,-0.9209821404831294,-0.920775337136389,0.8063724516757469,False
ret126,False,1,0.05,1.0,99,0.07013619242833191,-0.4732734353466832,-0.4701612928485899,2.684049847708482,False
ret126,False,1,0.05,2.0,99,0.060934522572278826,-0.48427821329831067,-0.4814259262003512,2.3668110934028883,False
ret126,False,1,0.05,3.0,99,0.06019381599579354,-0.4842782132983108,-0.4814259262003513,2.3428565885285826,False
ret126,False,1,0.1,1.0,99,0.07040855480899966,-0.6994019953628994,-0.6928767001888849,2.6940169729931434,False
ret126,False,1,0.1,2.0,99,0.06067301540236114,-0.7353100349838517,-0.7312184546699398,2.3583280030662537,False
ret126,False,1,0.1,3.0,99,0.046157532567613346,-0.7731687740222316,-0.7693673413778912,1.9294731520246997,False
ret126,False,1,0.2,1.0,99,0.04814329931126693,-0.8008124157585587,-0.7966265823306593,1.983510134437766,False
ret126,False,1,0.2,2.0,99,0.002207345233188107,-0.9492608578981248,-0.9472730489581723,1.0326366231947839,False
ret126,False,1,0.2,3.0,99,0.00882314992324007,-0.9635099288761804,-0.9619300400245813,1.1364947903165055,False
ret126,False,1,0.3,1.0,99,0.04814329931126693,-0.8008124157585587,-0.7966265823306593,1.983510134437766,False
ret126,False,1,0.3,2.0,99,-0.0674351174935145,-0.9801946731988475,-0.9797550700115939,0.36171320656908224,False
ret126,False,1,0.3,3.0,99,-0.10631282899625438,-0.9945878035476633,-0.9943152106862089,0.19453568401388657,True
ret126,False,2,0.05,1.0,168,0.0462650538854148,-0.6287616980838604,-0.6223705650643025,1.9323635684326885,False
ret126,False,2,0.05,2.0,182,0.02954433074890428,-0.7203607328358659,-0.7182735125677667,1.5281986270648718,False
ret126,False,2,0.05,3.0,182,0.02889481333446997,-0.7316117320959852,-0.7235620909733773,1.5142159757177083,False
ret126,False,2,0.1,1.0,151,0.0031685876608273933,-0.7813013309211418,-0.7768285783278243,1.0471567937262911,False
ret126,False,2,0.1,2.0,172,-0.03366901387755039,-0.9177097174070016,-0.9172684972686316,0.6072302108185385,False
ret126,False,2,0.1,3.0,179,-0.06505319546135602,-0.951307593485283,-0.9522160785923502,0.3754054079376845,False
ret126,False,2,0.2,1.0,151,0.0031685876608273933,-0.7813013309211418,-0.7768285783278243,1.0471567937262911,False
ret126,False,2,0.2,2.0,154,-0.10223071263238048,-0.9754635810822769,-0.9748648399358509,0.20788700755145595,False
ret126,False,2,0.2,3.0,171,-0.29012806098335975,-0.9995825377505667,-0.9995848325629818,0.006798018391188461,True
ret126,False,2,0.3,1.0,151,0.0031685876608273933,-0.7813013309211418,-0.7768285783278243,1.0471567937262911,False
ret126,False,2,0.3,2.0,154,-0.10223071263238048,-0.9754635810822769,-0.9748648399358509,0.20788700755145595,False
ret126,False,2,0.3,3.0,157,-0.2682820745647895,-0.9993021069951302,-0.9993056445812766,0.010571003904580944,True
ret126,False,3,0.05,1.0,231,0.044122693364668786,-0.5252512500525768,-0.5204713307446396,1.8755255017641614,False
ret126,False,3,0.05,2.0,255,0.10071547104482304,-0.6694080914213559,-0.6774672409399118,4.0458769107848385,False
ret126,False,3,0.05,3.0,261,0.10430149720471249,-0.7216631953239617,-0.7266620761229585,4.242165037594087,False
ret126,False,3,0.1,1.0,212,0.036833029313393606,-0.5791783671790067,-0.574420861165718,1.6935763031962572,False
ret126,False,3,0.1,2.0,240,0.04590279753657711,-0.8105421510156527,-0.8109657512383921,1.922641360391103,False
ret126,False,3,0.1,3.0,252,-0.09905119736686929,-0.9702178083593856,-0.9703760973435673,0.21887217285655053,False
ret126,False,3,0.2,1.0,212,0.036833029313393606,-0.5791783671790067,-0.574420861165718,1.6935763031962572,False
ret126,False,3,0.2,2.0,235,0.023490331513532192,-0.8303894031115464,-0.830080507605642,1.4024049306501989,False
ret126,False,3,0.2,3.0,240,-0.1457856204093565,-0.9889173390908684,-0.988685401391406,0.100750339389175,True
ret126,False,3,0.3,1.0,212,0.036833029313393606,-0.5791783671790067,-0.574420861165718,1.6935763031962572,False
