rank,asc,slots,risk,gross,cagr,dd_intraday,final_x,boot_cagr_p05,boot_cagr_p50,boot_cagr_p95,boot_dd_p50,boot_dd_p05,p_ruin,p_hit_300,p_hit_50
rsi2,False,1,0.1,1.0,0.1277510439822398,-0.6174748806009807,5.761093563399646,-0.023398908663012075,0.12946612251331058,0.2904064575614178,-0.602344363171936,-0.8153166927678338,0.002,0.0,0.0013333333333333333
rsi2,False,1,0.1,2.0,0.12506910132327254,-0.7219674850671944,5.564725580500109,-0.07885500515674009,0.13097004917596977,0.36331617082167755,-0.7564734389886736,-0.933616243835989,0.032,0.0,0.007333333333333333
ret252,True,1,0.1,1.0,0.11682593247656792,-0.5297634637308808,4.9994960330697795,-0.03547053666702581,0.11459682749967304,0.29108508493656526,-0.6029022195582846,-0.8206989049320428,0.0033333333333333335,0.0,0.0
ret252,True,1,0.2,1.0,0.11191325437122646,-0.541990006040846,4.688561681845465,-0.04787511977601773,0.10923371048082631,0.29503704025135113,-0.644212422628593,-0.8520601348224877,0.008,0.0,0.0
rsi2,False,1,0.1,3.0,0.11176662086232247,-0.7473406074784059,4.679563910742604,-0.09659558342419228,0.11502395499628082,0.371368735465896,-0.7912916136539168,-0.9521292754814823,0.056666666666666664,0.0,0.008
none,False,3,0.05,2.0,0.11097006471369575,-0.6132472333440273,4.630965703942841,-0.08783806297509186,0.1160272935344091,0.34031415118683783,-0.7664722364541756,-0.9414434217839113,0.03933333333333333,0.0,0.006
ret252,True,1,0.3,1.0,0.11081912808840588,-0.541990006040846,4.621810140140574,-0.04805987742792593,0.10784393233425138,0.2923332657847002,-0.6446030356075358,-0.8520515491128863,0.008,0.0,0.0
ret252,True,2,0.1,2.0,0.10908968726573587,-0.6809275763810383,4.518101385749783,-0.10777414597219252,0.10886325351780612,0.371226318189564,-0.8090368234334216,-0.9623298157752356,0.07733333333333334,0.0,0.008666666666666666
rsi2,False,1,0.2,1.0,0.1072734784838103,-0.6609919754851417,4.411525477736439,-0.04538254986409393,0.10982270681974193,0.2706288219749659,-0.6467952065164033,-0.851484372840732,0.006,0.0,0.0013333333333333333
none,False,5,0.05,2.0,0.10683691322339772,-0.657457112045218,4.386259073201902,-0.10954754203412853,0.10880814635120462,0.37091510823074886,-0.8084727262544007,-0.9625624762078046,0.07533333333333334,0.0,0.006
rsi2,False,1,0.3,1.0,0.10581993916557697,-0.6612039208153344,4.327922973858009,-0.045561544166193735,0.10834837412407883,0.2698332649921281,-0.6488503807723464,-0.8533212653949621,0.006666666666666667,0.0,0.0013333333333333333
rsi2,False,1,0.05,1.0,0.10455411820742344,-0.4449353079357602,4.25632182601306,-0.016348137175853948,0.10713920630816864,0.23212537169346978,-0.5028840589570109,-0.7190404613191693,0.0,0.0,0.0
