rank,asc,slots,risk,gross,n,cagr,dd,dd_intraday,final_x,wiped
none,False,10,0.2,1.0,512,0.052760217068231974,-0.39260830117770684,-0.39697849122817985,2.114641903159028,False
none,False,10,0.2,2.0,541,0.058769319006234166,-0.7014771372713791,-0.7081615089159979,2.2974216701123074,False
none,False,10,0.2,4.0,501,-0.07588640924789103,-0.977569595619441,-0.9775778593763323,0.3167942418972447,True
none,False,10,0.2,6.0,487,-0.3473792825692622,-0.9999607454802507,-0.999966691053421,0.0019974113055720747,True
none,False,10,0.2,8.0,219,-1.0,-1.0,-1.0447104349183163,0.0,True
none,False,10,0.2,12.0,73,-1.0,-1.0,-1.0227206496605907,0.0,True
none,False,10,0.2,16.0,76,-1.0,-1.0,-1.0,0.0,True
none,False,10,0.2,24.0,61,-1.0,-1.0,-1.0607763821911524,0.0,True
none,False,20,0.2,1.0,1022,0.07375693142202389,-0.3312888919736735,-0.3375442538132455,2.8194014656308912,False
none,False,20,0.2,2.0,1041,0.05727235390376939,-0.6192710390996258,-0.6223104247550459,2.250560585996032,False
none,False,20,0.2,4.0,1006,-0.07997473136568078,-0.956681224815262,-0.9558033128665264,0.2969820374406214,False
none,False,20,0.2,6.0,433,-1.0,-1.0,-1.0,0.0,True
none,False,20,0.2,8.0,456,-1.0,-1.0,-1.0725428033232218,0.0,True
none,False,20,0.2,12.0,149,-1.0,-1.0,-1.0090448572078492,0.0,True
none,False,20,0.2,16.0,134,-1.0,-1.0,-1.0609623322745667,0.0,True
none,False,20,0.2,24.0,105,-1.0,-1.0,-1.0914635734164018,0.0,True
ret126,False,10,0.2,1.0,524,0.08381979582577337,-0.30218755013477006,-0.30720270315218634,3.229703526038684,False
ret126,False,10,0.2,2.0,560,0.04721303343559691,-0.6277091118853948,-0.6302619932531095,1.9580224894262537,False
ret126,False,10,0.2,4.0,336,-1.0,-1.0,-1.0,0.0,True
ret126,False,10,0.2,6.0,113,-1.0,-1.0,-1.0020749073737931,0.0,True
ret126,False,10,0.2,8.0,105,-1.0,-1.0,-1.0267412563499614,0.0,True
ret126,False,10,0.2,12.0,65,-1.0,-1.0,-1.0365820262338779,0.0,True
ret126,False,10,0.2,16.0,67,-1.0,-1.0,-1.1267120911929884,0.0,True
ret126,False,10,0.2,24.0,57,-1.0,-1.0,-1.0,0.0,True
ret126,False,20,0.2,1.0,1078,0.08292888144225308,-0.2899563139826479,-0.29495945073019814,3.1912493814399885,False
ret126,False,20,0.2,2.0,1055,0.0947304342855615,-0.5511851562677189,-0.5487133675029621,3.7370047040243657,False
ret126,False,20,0.2,4.0,1065,0.011534695367114045,-0.9371975014523635,-0.9371910450835935,1.1818080291920694,False
ret126,False,20,0.2,6.0,682,-1.0,-1.0,-1.0,0.0,True
