rank,asc,slots,risk,gross,n,cagr,dd,dd_intraday,final_x,wiped
none,False,1,0.05,1.0,45,0.022265093942852365,-0.41081260430440925,-0.40405816352567536,1.3781495305339613,False
none,False,1,0.05,2.0,45,0.022265093942852365,-0.41081260430440925,-0.40405816352567536,1.3781495305339613,False
none,False,1,0.05,3.0,45,0.022265093942852365,-0.41081260430440925,-0.40405816352567536,1.3781495305339613,False
none,False,1,0.05,4.0,45,0.022265093942852365,-0.41081260430440925,-0.40405816352567536,1.3781495305339613,False
none,False,1,0.1,1.0,45,0.022187764286379696,-0.486799493304499,-0.48628404567836625,1.3766318600620568,False
none,False,1,0.1,2.0,45,0.010339353432176512,-0.5813113320743698,-0.5834856323651081,1.1616289170314218,False
none,False,1,0.1,3.0,45,0.010339353432176512,-0.5813113320743698,-0.5834856323651081,1.1616289170314218,False
none,False,1,0.1,4.0,45,0.010339353432176512,-0.5813113320743698,-0.5834856323651081,1.1616289170314218,False
none,False,1,0.2,1.0,45,0.022187764286379696,-0.486799493304499,-0.48628404567836625,1.3766318600620568,False
none,False,1,0.2,2.0,45,0.008575537836760683,-0.6958912995253996,-0.6953288175614358,1.132438558275505,False
none,False,1,0.2,3.0,45,-0.02294347092388349,-0.8139530046030854,-0.8104473419189173,0.7131429794454232,False
none,False,1,0.2,4.0,45,-0.028049176176113466,-0.8311192160078801,-0.8275361216440714,0.6607460742562474,False
none,False,1,0.3,1.0,45,0.022187764286379696,-0.486799493304499,-0.48628404567836625,1.3766318600620568,False
none,False,1,0.3,2.0,45,0.008575537836760683,-0.6958912995253996,-0.6953288175614358,1.132438558275505,False
none,False,1,0.3,3.0,45,-0.03128999029049562,-0.8456995142115309,-0.8461666670479238,0.6293720567254091,False
none,False,1,0.3,4.0,45,-0.08488229629052246,-0.9518368937504404,-0.9506522554223836,0.27472474264850416,False
none,False,2,0.05,1.0,107,0.06552072461499225,-0.4765338969656254,-0.48517079804860774,2.520282272424997,False
none,False,2,0.05,2.0,101,0.07145442231701904,-0.6089213259960995,-0.6121764097188732,2.7326118108380326,False
none,False,2,0.05,3.0,101,0.07145442231701904,-0.6089213259960995,-0.6121764097188732,2.7326118108380326,False
none,False,2,0.05,4.0,101,0.07145442231701904,-0.6089213259960995,-0.6121764097188732,2.7326118108380326,False
none,False,2,0.1,1.0,107,0.06552072461499225,-0.4765338969656254,-0.48517079804860774,2.520282272424997,False
none,False,2,0.1,2.0,99,0.1180847939573797,-0.5592535700399408,-0.5604714796409163,5.0822070532910395,False
none,False,2,0.1,3.0,104,0.052752557310054016,-0.8068882805939185,-0.813149488610515,2.114417813196891,False
none,False,2,0.1,4.0,101,0.04417593138256981,-0.8639571435278838,-0.8664541199109138,1.8769188668552566,False
none,False,2,0.2,1.0,107,0.06552072461499225,-0.4765338969656254,-0.48517079804860774,2.520282272424997,False
none,False,2,0.2,2.0,99,0.1180847939573797,-0.5592535700399408,-0.5604714796409163,5.0822070532910395,False
