rule,train_n,train_win,train_avg,train_pf,train_payoff,valid_n,valid_win,valid_avg,valid_pf,valid_payoff,hold_n,hold_win,hold_avg,hold_pf,hold_payoff,selection_score
mom126<=0.124227 AND body_pct>=0.544288,63,0.5396825396825397,0.360914621453218,1.778738791160111,1.5171595571659768,31,0.6129032258064516,0.41410468648272136,2.0128993565691458,1.2713048567805132,19,0.3157894736842105,-0.16401504305008127,0.7551148575357419,1.6360821913274408,0.5757740018278614
spy_strength<=0.0941282 AND pa>=5,63,0.5396825396825397,0.3474760774568076,1.7726288895928897,1.5119481705351119,33,0.5454545454545454,0.4728009187143293,2.1613045023602706,1.8010870853002257,21,0.38095238095238093,-0.08390807220519651,0.8122549608571958,1.3199143113929432,0.5744301474282204
mom63>=0.109485 AND vol_ratio>=0.81839,62,0.532258064516129,0.38772770445591376,1.8559448967337815,1.6309818789478685,24,0.5416666666666666,0.39551586265576105,1.8317507104566095,1.5499429088479002,17,0.35294117647058826,-0.13189104873441046,0.7325937588088206,1.343088557816171,0.5710308349617204
mom126<=0.124227 AND lower_wick<=0.266191,60,0.5333333333333333,0.35958717278181856,1.7681603129096501,1.5471402737959437,29,0.5862068965517241,0.4221112931060554,1.9480629612684748,1.3751032667777467,20,0.35,-0.13643662400270137,0.7854663309128618,1.458723185981029,0.5692920506115152
mom126<=0.124227 AND close_location>=0.828223,70,0.5285714285714286,0.3112728405929341,1.6612691945037668,1.481672524827684,31,0.5806451612903226,0.3692718855449925,1.8359809170197487,1.3259862178475965,20,0.3,-0.26957560226275945,0.6312577531345359,1.4729347573139173,0.559698712630722
close_location>=0.828223 AND qqq_strength<=0.0988458,62,0.532258064516129,0.2913999688472213,1.5608543161270367,1.3716598535661837,26,0.5384615384615384,0.2677706686338984,1.6448775994453377,1.4098950852388608,37,0.32432432432432434,-0.24008329720694468,0.6410265562580191,1.3354719922042064,0.5590351313795189
mom126<=0.205921 AND close_location>=0.828223,101,0.5346534653465347,0.3217856233694423,1.6601314055224927,1.4449291862880955,44,0.5227272727272727,0.22647643425900796,1.4864819775459255,1.3572226751506276,26,0.38461538461538464,-0.010820406051381178,0.982112361016576,1.5713797776265213,0.5453749161531735
mom126<=0.205921 AND body_pct>=0.544288,100,0.52,0.24010858518058675,1.467132226710687,1.3542759015790957,45,0.5333333333333333,0.22364588521282558,1.4793683977880525,1.294447348064546,24,0.4166666666666667,0.12745625044912193,1.2396030601263859,1.7354442841769404,0.5423645885212826
lower_wick<=0.266191 AND spy_strength<=0.0941282,103,0.5145631067961165,0.27663318196480663,1.5401923861916367,1.4530116850864494,50,0.52,0.3112880124153186,1.6527685571238668,1.5256325142681848,43,0.4418604651162791,0.16290516487865825,1.4244923090172852,1.799358706127097,0.5422264249925972
ema20_dist<=-0.00500608 AND vol_ratio>=0.81839,69,0.5362318840579711,0.3511119180320411,1.7723879420224953,1.5328760579654013,31,0.5161290322580645,0.2603227225612641,1.5688914539278365,1.4708357380573467,22,0.36363636363636365,-0.14605467147245943,0.7838954493306475,1.3718170363286333,0.5421613045141909
mom63>=0.109485 AND spy_strength<=0.0941282,71,0.5070422535211268,0.32187874042119374,1.6544915328065155,1.6085334346730014,29,0.5517241379310345,0.4261351923922948,1.925005179590439,1.5640667084172317,35,0.3142857142857143,-0.2384440720543748,0.542697023655326,1.1840662334298022,0.5392301275632462
mom63>=0.061588 AND spy_strength<=0.0941282,106,0.5094339622641509,0.2925694242736424,1.5836092419325918,1.52495704778694,48,0.5416666666666666,0.3324533499916916,1.7042870477818062,1.4420890404307591,45,0.35555555555555557,-0.12683107777219632,0.7408650795233661,1.342817956636101,0.5386909046915151
vol_ratio>=0.964122 AND close_location>=0.828223,65,0.5384615384615384,0.3062163364934645,1.593148994504628,1.3655562810039672,33,0.5151515151515151,0.22408778697896684,1.4952854025270077,1.4073274376724778,22,0.36363636363636365,-0.05285035579867397,0.9076275096556075,1.5883481418973129,0.5375602938494118
body_pct>=0.544288 AND qqq_strength<=0.0988458,70,0.5142857142857142,0.22006756934786909,1.41445410749203,1.3358733237424727,28,0.5357142857142857,0.23859378139774418,1.5284168232175572,1.3246279134552161,28,0.42857142857142855,0.11644143611967087,1.2251634554633977,1.6335512739511968,0.5362924712205012
mom63>=0.061588 AND ema20_dist<=0.00134722,104,0.5096153846153846,0.26781520639517786,1.5310869928419515,1.4733101251875382,55,0.509090909090909,0.30549651919451976,1.5982111549552491,1.541132185135419,31,0.41935483870967744,0.019729636138371514,1.049026860575683,1.452498730027869,0.5358724297304268
spy_strength<=0.0941282 AND stop_pct<=0.0740393,132,0.5075757575757576,0.2644703615483673,1.4964592637573741,1.451788837973572,63,0.5396825396825397,0.36864943443945014,1.8197298819089205,1.5521225463340793,41,0.3902439024390244,-0.019994001207188746,0.9666507601936181,1.5103918128025282,0.5340227937305942
vol_ratio>=0.81839 AND close_location>=0.887837,65,0.5076923076923077,0.2631235471910519,1.5059739265747656,1.4603383530421967,30,0.6333333333333333,0.5068591019641342,2.5689066625434522,1.4872617519988407,26,0.38461538461538464,-0.026029531402758117,0.9504934298640741,1.5207894877825185,0.5340046624114129
ema20_dist<=0.00134722 AND spy_strength<=0.0941282,109,0.5229357798165137,0.2583043079676063,1.5162562581198225,1.383251323197031,59,0.5084745762711864,0.24809304434531657,1.496684920498139,1.446795423148201,46,0.32608695652173914,-0.1662539249381483,0.7052955007759378,1.457610701603605,0.5332838807057181
mom126<=0.205921 AND body_pct>=0.707092,65,0.5076923076923077,0.24884233998296795,1.4964293230659915,1.4510829799427796,27,0.5555555555555556,0.33310108682645,1.759293623779777,1.4074348990238215,14,0.5714285714285714,0.5252627676647713,2.3921608029682773,1.794120602226208,0.5325765416906044
rsi14<=50.5519 AND ema50_dist>=0.00165905,68,0.5588235294117647,0.3584582187723515,1.7776812972039684,1.4034326030557647,42,0.5,0.3256117463529979,1.600209619216188,1.6002096192161883,28,0.35714285714285715,-0.1748187611462881,0.6623341431445913,1.1922014576602642,0.5325611746352998
ema20_dist<=0.00134722 AND ema50_dist>=0.00165905,85,0.5411764705882353,0.322201656295255,1.675381126463655,1.4204318246104903,48,0.5,0.33054824438986435,1.6116208303640052,1.611620830364005,30,0.36666666666666664,-0.14708486363088044,0.7162305427329654,1.2371254829023948,0.5322201656295255
qqq_strength<=0.118034 AND pa>=5,63,0.5079365079365079,0.23719923318849184,1.4536614530813523,1.4082345326725598,35,0.5428571428571428,0.46337147214153934,2.121128251281902,1.7862132642373911,14,0.35714285714285715,-0.04590295241729533,0.9113938502981437,1.6405089305366587,0.5316564312553571
mom63>=0.109485 AND lower_wick<=0.266191,71,0.5492957746478874,0.40530101739928187,1.9071007051335171,1.564800578571091,28,0.5,0.31119573673603107,1.5992546546935984,1.5992546546935984,19,0.3684210526315789,-0.02364258481698659,0.9351482782672108,1.6031113341723615,0.5311195736736031
mom63>=0.061588 AND lower_wick<=0.266191,105,0.5047619047619047,0.2781367478919014,1.5429479534605193,1.5138357279235284,42,0.5238095238095238,0.26337452854946014,1.528693408058642,1.389721280053311,25,0.44,0.09661974628930191,1.3015490924267263,1.6565170267249245,0.5310993576168508
mom126<=0.124227 AND spy_strength>=0.0633548,91,0.5054945054945055,0.27548597959151117,1.567323770283732,1.5332515144079986,48,0.5416666666666666,0.25361717577288784,1.5292800865829859,1.2940062271086805,17,0.4117647058823529,-0.05134978936706699,0.9230375511641419,1.3186250730916311,0.5308562230717943
ema20_dist<=0.00744233 AND stop_pct>=0.0518014,75,0.52,0.25504068676880925,1.5495467908369513,1.4303508838494936,55,0.509090909090909,0.1955106218377342,1.4031886686195256,1.3530747875973996,34,0.38235294117647056,-0.03336389788352002,0.9197892969741499,1.485813479727473,0.5286419712746825
ema50_dist>=0.00165905 AND spy_strength<=0.0941282,94,0.5531914893617021,0.3942281619876858,1.8569830932492568,1.4998709599320923,52,0.5,0.28534117476963716,1.5730804871142519,1.5730804871142519,49,0.32653061224489793,-0.228899288117792,0.6021568858380075,1.2419485770408907,0.5285341174769638
ema20_dist<=0.00744233 AND ema50_dist>=0.0117799,76,0.5263157894736842,0.28451896065009347,1.554794317287736,1.3993148855589623,36,0.5,0.39188383331505855,1.7487962381884161,1.7487962381884161,22,0.4090909090909091,0.0017040505265664746,1.0034997062887046,1.4494995757503508,0.5284518960650093
ema50_dist>=-0.00668662 AND spy_strength<=0.0941282,127,0.5275590551181102,0.3342200687432085,1.6867442438183857,1.510517233270196,70,0.5,0.2823560895087898,1.5890026821426149,1.5890026821426149,64,0.375,-0.05339042522310171,0.8952796968967187,1.4921328281611979,0.528235608950879
close_location>=0.828223 AND spy_strength<=0.079561,64,0.5,0.2930451248626512,1.556102249926856,1.556102249926856,23,0.5217391304347826,0.27462379772545165,1.6462613388643665,1.5090728939590026,38,0.3157894736842105,-0.2532801209007465,0.6147767990960431,1.3320163980414268,0.5274623797725452
