name,strategy,side,ema_zone,rsi_lo,rsi_hi,volume_ratio,stop_lookback,atr_buffer,target_lookback,min_rr,max_hold,require_reversal,momentum_min,is_n,is_win_rate,is_avg_r,is_median_r,is_profit_factor,is_max_dd_r,is_avg_hold,is_avg_planned_rr,oos_n,oos_win_rate,oos_avg_r,oos_median_r,oos_profit_factor,oos_max_dd_r,oos_avg_hold,oos_avg_planned_rr,oos_score
reversion_long_rsi2_10_stop20_atr1.5_hold10,reversion,long,0,10,90,1.0,20,1.5,20,0,10,False,0,5276,0.6207,0.0254,0.0884,1.132,-31.35,4.8,,4193,0.6446,0.0211,0.105,1.115,-42.05,4.6,,1.3662962819242392
reversion_long_rsi2_2_stop20_atr1.5_hold5,reversion,long,0,2,98,1.0,20,1.5,20,0,5,False,0,1075,0.5767,0.0101,0.0833,1.043,-32.66,4.2,,779,0.5892,0.0468,0.1036,1.224,-14.14,4.1,,1.306214744978788
reversion_long_rsi2_2_stop20_atr1.0_hold5,reversion,long,0,2,98,1.0,20,1.0,20,0,5,False,0,1097,0.5624,0.0134,0.0863,1.042,-40.83,3.9,,788,0.5761,0.0461,0.1189,1.163,-18.74,3.8,,1.294088667750398
reversion_long_rsi2_5_stop20_atr1.5_hold10,reversion,long,0,5,95,1.0,20,1.5,20,0,10,False,0,2800,0.6161,0.0168,0.0988,1.076,-31.07,4.9,,2101,0.6349,0.0272,0.1283,1.128,-31.27,4.8,,1.2467573300366033
reversion_long_rsi2_5_stop20_atr1.5_hold5,reversion,long,0,5,95,1.0,20,1.5,20,0,5,False,0,2921,0.5769,0.0107,0.0717,1.05,-29.99,4.1,,2174,0.5943,0.0225,0.0991,1.113,-22.85,4.0,,1.049088890418729
reversion_long_rsi2_10_stop20_atr1.5_hold5,reversion,long,0,10,90,1.0,20,1.5,20,0,5,False,0,5598,0.5795,0.0143,0.0693,1.074,-42.08,4.0,,4396,0.6021,0.0148,0.0887,1.081,-40.77,3.9,,0.981274599691646
reversion_long_rsi2_2_stop20_atr1.5_hold10,reversion,long,0,2,98,1.0,20,1.5,20,0,10,False,0,1060,0.6094,0.0141,0.1136,1.057,-28.86,5.0,,766,0.6214,0.0345,0.1427,1.146,-18.22,4.9,,0.9548463227137653
reversion_long_rsi2_2_stop20_atr1.0_hold10,reversion,long,0,2,98,1.0,20,1.0,20,0,10,False,0,1086,0.5847,0.0157,0.1173,1.047,-36.16,4.5,,778,0.5925,0.0222,0.1494,1.07,-21.57,4.4,,0.6192168602355721
reversion_long_rsi2_5_stop20_atr1.0_hold10,reversion,long,0,5,95,1.0,20,1.0,20,0,10,False,0,2871,0.5953,0.0078,0.0965,1.026,-37.25,4.5,,2146,0.6034,0.0121,0.1274,1.041,-48.72,4.4,,0.5605317653799827
reversion_long_rsi2_10_stop20_atr1.0_hold10,reversion,long,0,10,90,1.0,20,1.0,20,0,10,False,0,5390,0.6,0.0124,0.0902,1.048,-48.81,4.5,,4275,0.6218,0.0073,0.1134,1.029,-50.95,4.3,,0.4772994343177038
reversion_long_rsi2_2_stop20_atr0.5_hold5,reversion,long,0,2,98,1.0,20,0.5,20,0,5,False,0,1135,0.5031,-0.0694,0.0075,0.865,-77.6,3.4,,807,0.5056,0.0145,0.0076,1.033,-30.03,3.3,,0.411912308628912
reversion_long_rsi2_10_stop20_atr1.0_hold5,reversion,long,0,10,90,1.0,20,1.0,20,0,5,False,0,5671,0.5637,0.0048,0.0692,1.019,-85.47,3.9,,4445,0.5879,0.006,0.0954,1.024,-53.16,3.7,,0.40002499921879886
reversion_long_rsi2_5_stop20_atr1.0_hold5,reversion,long,0,5,95,1.0,20,1.0,20,0,5,False,0,2969,0.5621,0.0022,0.0724,1.008,-43.07,3.9,,2206,0.5725,0.0079,0.1003,1.029,-42.14,3.8,,0.3710477866798292
reversion_long_rsi2_2_stop20_atr0.5_hold10,reversion,long,0,2,98,1.0,20,0.5,20,0,10,False,0,1131,0.5119,-0.0665,0.0262,0.876,-73.94,3.8,,801,0.5144,-0.0042,0.0456,0.991,-34.03,3.7,,-0.1188681622639132
reversion_short_rsi2_2_stop20_atr1.5_hold5,reversion,short,0,2,98,1.0,20,1.5,20,0,5,False,0,418,0.5383,-0.0225,0.0517,0.912,-18.25,4.1,,78,0.4359,-0.0276,-0.0427,0.847,-4.36,4.4,,-0.2437565999106486
